State,Total SAT Mean score,Total SAT SD,Evidence-based reading and writing (ERW) Mean score,Evidence-based reading and writing (ERW) SD,Math Mean score,Math SD
Alabama,1165,199,593,100,572,111
Alaska,1080,176,547,94,533,94
Arizona,1116,179,563,92,553,98
Arkansas,1208,198,614,103,594,107
California,1055,186,531,95,524,103
Colorado,1201,194,606,99,595,107
Connecticut,1041,210,530,106,512,114
Delaware,996,197,503,104,492,103
District of Columbia,950,240,482,126,468,123
Florida,1017,190,520,97,497,104
Georgia,1050,177,535,92,515,95
Hawaii,1085,173,544,88,541,97
Idaho,1005,182,513,97,493,96
Illinois,1115,241,559,119,556,130
Indiana,1074,168,542,88,532,92
Iowa,1275,189,641,95,635,106
Kansas,1260,188,632,99,628,103
Kentucky,1247,188,631,95,616,105
Louisiana,1198,204,611,102,586,112
Maine,1012,198,513,104,499,106
Maryland,1060,199,536,102,524,108
Massachusetts,1107,191,555,98,551,104
Michigan,1005,195,509,101,495,105
Minnesota,1295,177,644,92,651,99
Mississippi,1242,187,634,91,607,107
Missouri,1271,189,640,95,631,105
Montana,1196,161,605,85,591,89
Nebraska,1253,198,629,100,625,109
Nevada,1116,170,563,86,553,96
New Hampshire,1052,198,532,102,520,107
New Jersey,1056,187,530,96,526,102
New Mexico,1138,186,577,97,561,101
New York,1052,188,528,96,523,104
North Carolina,1081,176,546,92,535,95
North Dakota,1256,199,635,100,621,110
Ohio,1149,212,578,108,570,114
Oklahoma,1047,257,530,133,517,132
Oregon,1108,174,560,93,548,94
Pennsylvania,1071,181,540,94,531,98
Rhode Island,1062,190,539,99,524,102
South Carolina,1064,174,543,91,521,94
South Dakota,1216,197,612,101,603,106
Tennessee,1228,190,623,95,604,107
Texas,1020,193,513,102,507,101
Utah,1238,185,624,96,614,102
Vermont,1114,173,562,92,551,95
Virginia,1102,184,561,95,541,100
Washington,1075,191,541,101,534,102
West Virginia,1086,171,558,88,528,95
Wisconsin,1291,178,642,95,649,98
Wyoming,1230,176,626,90,604,98
